,baseSymbol,expirationDate,baseLastPrice,strikePrice,priceDiffPerc,prediction
26,JNPR,2020-07-31,23.16,24.5,1.0578583765112262,0.5661269665898342
234,MOS,2020-07-31,13.2,14.0,1.0606060606060606,0.5395062350086168
434,JD,2020-07-31,61.71,67.0,1.0857235456165937,0.5188149974678387
466,CAT,2020-07-31,138.56,150.0,1.0825635103926097,0.5192855622508449
517,MA,2020-07-31,299.35,320.0,1.068982796058126,0.6406425221699463
530,NFLX,2020-07-31,527.39,590.0,1.1187166992168984,0.9756318256498581
675,NFLX,2020-07-24,527.39,590.0,1.1187166992168984,0.6017718962909426
709,DAL,2020-07-31,27.26,29.0,1.0638297872340425,0.5796693163661616
778,VZ,2020-07-31,55.78,59.0,1.0577267837934743,0.5107686927100702
792,FSLY,2020-07-24,78.12,85.0,1.0880696364567333,0.6555319068401183
801,TSLA,2020-07-24,1500.64,2250.0,1.4993602729502078,0.65804105968282
833,FEYE,2020-07-31,12.77,13.5,1.0571652310101802,0.5580477711742982
850,AMZN,2020-07-24,2999.9,3200.0,1.0667022234074468,0.9999845892984056
985,ROKU,2020-07-24,153.31,162.5,1.0599439045072077,0.5779711646634624
1131,NFLX,2020-07-24,527.39,565.0,1.0713134492500807,0.9036595516307208
1149,NFLX,2020-07-24,527.39,560.0,1.0618327992567171,0.9392191406021309
1153,PDD,2020-07-24,83.55,90.0,1.0771992818671454,0.5022509558059192
1184,PTON,2020-07-24,61.29,65.0,1.060531897536303,0.5450088422828409
