iter	Logloss
0	0.6799789224
1	0.6671760215
2	0.6562433908
3	0.6470219709
4	0.637850951
5	0.6312263845
6	0.6244101782
7	0.6185648236
8	0.6130172727
9	0.6080632937
10	0.6038425649
11	0.6003886053
12	0.5973665069
13	0.5939669245
14	0.5912513345
15	0.5888230581
16	0.5865207474
17	0.5844173982
18	0.5824765411
19	0.5803149061
20	0.5786900688
21	0.5771119006
22	0.5756086811
23	0.5741194379
24	0.5727320253
25	0.5712998486
26	0.5700529866
27	0.5691655556
28	0.5677669411
29	0.5666628944
30	0.5658664679
31	0.5650174568
32	0.5638658334
33	0.5626599091
34	0.5615109866
35	0.5608350373
36	0.56032856
37	0.5593931074
38	0.5589105747
39	0.5580115344
40	0.5572250211
41	0.556576911
42	0.5559883776
43	0.5553104382
44	0.5546480826
45	0.5539377344
46	0.5531823625
47	0.5527429252
48	0.5519816282
49	0.5515048266
50	0.5508181722
51	0.5505591622
52	0.5499263166
53	0.5495410287
54	0.5491361973
55	0.548690851
56	0.5483408115
57	0.5477763841
58	0.5469908339
59	0.5465445384
60	0.5460220653
61	0.5453446181
62	0.5449799597
63	0.544619634
64	0.5441809032
65	0.5436280656
66	0.5430785631
67	0.5425730328
68	0.5421457411
69	0.5417648464
70	0.5412019006
71	0.5408288028
72	0.5405809228
73	0.5398619615
74	0.5394187265
75	0.5391174914
76	0.538728259
77	0.5383881618
78	0.5380394529
79	0.5376753172
80	0.5372449924
81	0.5368036581
82	0.5362839799
83	0.5358446507
84	0.5353401636
85	0.5350760606
86	0.5346844484
87	0.5342964046
88	0.5339016813
89	0.5334918059
90	0.5331767351
91	0.5328823984
92	0.5325044766
93	0.5321771124
94	0.531711819
95	0.5313287218
96	0.5310195184
97	0.5306673888
98	0.5304802738
99	0.530169659
100	0.5297703279
101	0.5294295874
102	0.529036616
103	0.5286424877
104	0.5282481999
105	0.5279461323
106	0.5278207975
107	0.5275189351
108	0.5270120298
109	0.5267514209
110	0.5265088376
111	0.5260557924
112	0.5257018082
113	0.5254825167
114	0.5251275986
115	0.5247405729
116	0.5244634602
117	0.5242101168
118	0.5237230535
119	0.523394373
120	0.5230855609
121	0.5227497295
122	0.522474765
123	0.5220875838
124	0.5217126023
125	0.5215313028
126	0.5211542569
127	0.5208444931
128	0.5206439475
129	0.5203288964
130	0.5200189955
131	0.5196688176
132	0.5193420113
133	0.5190446189
134	0.5187702661
135	0.5185374485
136	0.5183307206
137	0.5180501674
138	0.5177270786
139	0.5175242535
140	0.517181503
141	0.5168206089
142	0.5165060434
143	0.5162337767
144	0.5156673861
145	0.5152774757
146	0.5150432856
147	0.5148187029
148	0.5146665834
149	0.5144250385
150	0.5140764674
151	0.5138999093
152	0.5136844498
153	0.5134609714
154	0.5132919125
155	0.5130039109
156	0.5126461158
157	0.5120714659
158	0.5116626255
159	0.5113141707
160	0.5109095557
161	0.5106564719
162	0.5100959189
163	0.5096179245
164	0.5092361315
165	0.5088084579
166	0.5085041741
167	0.5081384611
168	0.5078878644
169	0.5075558993
170	0.5072973419
171	0.5070691531
172	0.5067077926
173	0.5064686272
174	0.5061678609
175	0.5057533801
176	0.5052972921
177	0.5050647906
178	0.5047759642
179	0.5044258369
180	0.50422742
181	0.5039742047
182	0.503776907
183	0.50337047
184	0.5031263885
185	0.502727344
186	0.5024533414
187	0.5020516338
188	0.5018631102
189	0.501502689
190	0.5012459207
191	0.5008705411
192	0.5005008017
193	0.5001878182
194	0.4998841589
195	0.499532173
196	0.4992383915
197	0.4988608632
198	0.4985427817
199	0.4981940629
200	0.4978946299
201	0.4975470658
202	0.4973067633
203	0.4969706585
204	0.4967525788
205	0.4963580167
206	0.4960193933
207	0.4954750634
208	0.4950771916
209	0.4948323029
210	0.4945328285
211	0.4939876016
212	0.4936642841
213	0.4933351267
214	0.4929277867
215	0.4926974869
216	0.4923039303
217	0.4920522574
218	0.4916985244
219	0.4914138481
220	0.4910392657
221	0.4907852929
222	0.4904476549
223	0.4902155152
224	0.4899340855
225	0.4897254875
226	0.4894290004
227	0.4890248503
228	0.488611017
229	0.4882450397
230	0.4878042813
231	0.4875953609
232	0.4871744926
233	0.4869312847
234	0.4866839757
235	0.4863951541
236	0.4861015997
237	0.4857749017
238	0.4854375956
239	0.4851145304
240	0.4845472513
241	0.4841514949
242	0.4837267085
243	0.483427571
244	0.483094356
245	0.4827112454
246	0.4823307005
247	0.482114419
248	0.4817666102
249	0.4814769762
250	0.4810028346
251	0.4807168829
252	0.4804754497
253	0.4802847302
254	0.480056091
255	0.479699645
256	0.479462215
257	0.4792424264
258	0.4789293196
259	0.4786470378
260	0.4783135683
261	0.4779968993
262	0.4776440105
263	0.4774764088
264	0.4772195968
265	0.4768430165
266	0.4766316569
267	0.476338341
268	0.4758319197
269	0.475436049
270	0.4751863172
271	0.4749960886
272	0.4747952349
273	0.4745604446
274	0.4742999615
275	0.4740412821
276	0.4736194163
277	0.4730993155
278	0.472835315
279	0.4725902164
280	0.4722515188
281	0.471963004
282	0.4714880619
283	0.4709796762
284	0.4707355107
285	0.4704938783
286	0.4701212893
287	0.4697975231
288	0.4695932907
289	0.4690728825
290	0.4688001086
291	0.4683761905
292	0.4681989892
293	0.4679228068
294	0.4677248174
295	0.4675559409
296	0.4673173545
297	0.4669549077
298	0.4667437353
299	0.4664657179
300	0.4661654666
301	0.4660006259
302	0.4656015114
303	0.4653717645
304	0.4651314246
305	0.4649314016
306	0.4647203027
307	0.4642023497
308	0.463968037
309	0.4637447254
310	0.4636153055
311	0.4633250902
312	0.4631480384
313	0.462922519
314	0.4627158071
315	0.4625057838
316	0.4621814876
317	0.4619497296
318	0.4617478333
319	0.4615233267
320	0.4612682712
321	0.461007359
322	0.4606720836
323	0.4604051362
324	0.4601198207
325	0.4597748194
326	0.4595154599
327	0.4592079551
328	0.4589935591
329	0.458737665
330	0.4584411987
331	0.4582153103
332	0.457949581
333	0.4576429318
334	0.4574810668
335	0.4571970252
336	0.4568835661
337	0.4565578028
338	0.4560479917
339	0.4557674367
340	0.4555214847
341	0.4552966693
342	0.4549928152
343	0.4546979102
344	0.4544316135
345	0.4540942232
346	0.4537666903
347	0.4535672327
348	0.4533864613
349	0.4531780866
350	0.4529939277
351	0.4527982396
352	0.4524479738
353	0.4522561684
354	0.4518363828
355	0.4516763352
356	0.4513522895
357	0.4511782588
358	0.4508938067
359	0.4505843615
360	0.4502474126
361	0.4501015262
362	0.4498896411
363	0.4496831267
364	0.4492800068
365	0.4490398866
366	0.4487186137
367	0.4485300613
368	0.4482914175
369	0.4480775035
370	0.4478823036
371	0.4475571078
372	0.4474137431
373	0.4471450421
374	0.4469981197
375	0.4467072704
376	0.4464128876
377	0.4462170815
378	0.4459459983
379	0.4457766269
380	0.445680619
381	0.4454548915
382	0.4451170913
383	0.4449199675
384	0.4446147089
385	0.4443873776
386	0.4441096724
387	0.4439882835
388	0.4437830853
389	0.4436018917
390	0.4434161975
391	0.4431996219
392	0.4429139335
393	0.442855402
394	0.442526025
395	0.4422981065
396	0.4420805878
397	0.4417603301
398	0.4415220689
399	0.4411532628
400	0.4408910212
401	0.4406395683
402	0.440171589
403	0.4398718701
404	0.4394813634
405	0.4393444423
406	0.4390188851
407	0.438833445
408	0.4385079312
409	0.438255943
410	0.43787911
411	0.4376604261
412	0.4373978772
413	0.4371439252
414	0.4369636681
415	0.4368031715
416	0.4365785389
417	0.4361940194
418	0.4359966603
419	0.43570712
420	0.4355363453
421	0.435311387
422	0.4350498698
423	0.4348488128
424	0.4347106703
425	0.4344812732
426	0.4342489109
427	0.4339992034
428	0.433773503
429	0.4335737146
430	0.4333261727
431	0.4331488918
432	0.4330113729
433	0.4326461622
434	0.4322956944
435	0.4318714012
436	0.4316666191
437	0.4314337558
438	0.4312326421
439	0.43115662
440	0.4309317304
441	0.4304353585
442	0.430279015
443	0.4300998612
444	0.4297031285
445	0.4294554236
446	0.4291421609
447	0.4289519961
448	0.4287725562
449	0.4285276204
450	0.4283675156
451	0.4281482849
452	0.4279348006
453	0.4277909802
454	0.427462694
455	0.4272185939
456	0.4269467034
457	0.4267214259
458	0.4264802077
459	0.4262421793
460	0.425831988
461	0.4255194938
462	0.4252161884
463	0.4249113347
464	0.4246530032
465	0.4245359451
466	0.4243690014
467	0.4241779136
468	0.4239248405
469	0.4236825935
470	0.4235120828
