iter	Passed	Remaining
0	8	8793
1	12	6002
2	16	5519
3	20	5053
4	24	4893
5	27	4544
6	29	4186
7	32	4010
8	34	3848
9	37	3678
10	41	3713
11	48	3968
12	55	4241
13	63	4463
14	67	4428
15	71	4384
16	75	4379
17	79	4351
18	85	4406
19	89	4399
20	92	4304
21	95	4266
22	99	4213
23	103	4204
24	106	4164
25	109	4101
26	112	4058
27	116	4036
28	119	3987
29	133	4303
30	136	4270
31	139	4234
32	142	4185
33	146	4152
34	150	4149
35	152	4093
36	155	4038
37	158	4000
38	160	3963
39	163	3917
40	166	3904
41	169	3860
42	171	3814
43	174	3786
44	177	3757
45	179	3731
46	187	3792
47	193	3837
48	200	3895
49	208	3964
50	216	4037
51	224	4100
52	233	4163
53	241	4235
54	245	4222
55	250	4216
56	260	4316
57	264	4292
58	267	4263
59	270	4236
60	274	4218
61	277	4199
62	280	4174
63	284	4157
64	287	4136
65	290	4116
66	293	4085
67	295	4052
68	298	4026
69	300	3997
70	303	3965
71	305	3937
72	308	3912
73	310	3881
74	312	3853
75	314	3828
76	316	3799
77	319	3774
78	322	3757
79	325	3740
80	328	3723
81	330	3704
82	333	3684
83	336	3664
84	338	3646
85	341	3627
86	344	3611
87	346	3591
88	348	3571
89	351	3557
90	354	3543
91	357	3524
92	359	3509
93	362	3491
94	364	3474
95	368	3465
96	370	3447
97	372	3432
98	375	3418
99	377	3400
100	380	3384
101	383	3373
102	385	3358
103	388	3347
104	390	3332
105	392	3314
106	394	3295
107	397	3278
108	398	3261
109	401	3244
110	403	3231
111	405	3215
112	407	3199
113	409	3183
114	411	3168
115	413	3154
116	415	3139
117	417	3123
118	419	3107
119	421	3094
120	424	3083
121	427	3073
122	429	3061
123	431	3049
124	434	3042
125	437	3032
126	439	3020
127	441	3009
128	444	2998
129	446	2988
130	448	2976
131	451	2965
132	453	2954
133	455	2943
134	458	2935
135	460	2925
136	462	2915
137	465	2906
138	467	2896
139	470	2890
140	472	2879
141	474	2868
142	477	2859
143	479	2849
144	481	2840
145	484	2832
146	486	2822
147	488	2811
148	490	2799
149	492	2790
150	494	2779
151	496	2768
152	498	2757
153	500	2747
154	502	2736
155	503	2726
156	505	2715
