,baseSymbol,baseLastPrice,symbolType,strikePrice,expirationDate,daysToExpiration,bidPrice,midpoint,askPrice,lastPrice,volume,openInterest,volumeOpenInterestRatio,volatility,tradeTime,exportedAt,minPrice,maxPrice,finalPrice,firstPrice
0,FCX,14.11,Call,15.5,2020-08-21,16,0.18,0.19,0.19,0.18,24298,314,77.38,52.67,2020-08-05 14:49:00,2020-08-05 21:25:16,13.670000076293945,15.1899995803833,14.359999656677246,14.5600004196167
1,FCX,14.11,Call,16.0,2020-08-21,16,0.11,0.12,0.13,0.12,14212,4613,3.08,54.77,2020-08-05 14:33:00,2020-08-05 21:25:16,13.670000076293945,15.1899995803833,14.359999656677246,14.5600004196167
2,FCX,14.11,Put,14.0,2020-08-21,16,0.55,0.56,0.57,0.57,2618,1029,2.54,53.44,2020-08-05 14:46:00,2020-08-05 21:25:16,13.670000076293945,15.1899995803833,14.359999656677246,14.5600004196167
3,FCX,14.11,Call,15.5,2020-08-21,16,0.18,0.19,0.19,0.18,24298,314,77.38,52.67,2020-08-05 14:49:00,2020-08-05 21:25:16,13.670000076293945,15.1899995803833,14.359999656677246,14.5600004196167
4,FCX,14.11,Call,16.0,2020-08-21,16,0.11,0.12,0.13,0.12,14212,4613,3.08,54.77,2020-08-05 14:33:00,2020-08-05 21:25:16,13.670000076293945,15.1899995803833,14.359999656677246,14.5600004196167
5,FCX,14.11,Put,14.0,2020-08-21,16,0.55,0.56,0.57,0.57,2618,1029,2.54,53.44,2020-08-05 14:46:00,2020-08-05 21:25:16,13.670000076293945,15.1899995803833,14.359999656677246,14.5600004196167
6,GPN,176.08,Put,160.0,2020-08-21,16,0.8,0.9,1.0,0.95,8009,143,56.01,39.77,2020-08-05 14:01:00,2020-08-05 21:25:16,166.35000610351562,177.5,168.17999267578125,176.5
7,GPN,176.08,Put,160.0,2020-08-21,16,0.8,0.9,1.0,0.95,8009,143,56.01,39.77,2020-08-05 14:01:00,2020-08-05 21:25:16,166.35000610351562,177.5,168.17999267578125,176.5
8,TJX,53.27,Put,52.0,2020-08-21,16,1.4,1.48,1.55,1.6,3186,109,29.23,49.89,2020-08-05 14:08:00,2020-08-05 21:25:16,51.529998779296875,59.540000915527344,51.68000030517578,53.40999984741211
9,TJX,53.27,Put,52.0,2020-08-21,16,1.4,1.48,1.55,1.6,3186,109,29.23,49.89,2020-08-05 14:08:00,2020-08-05 21:25:16,51.529998779296875,59.540000915527344,51.68000030517578,53.40999984741211
