,ticker,company,callOptionVolume,avgOptionVolume,increaseRelative2Avg,avgStockVolume,indicators,dataDate,exportedAt,expirationDate,baseSymbol,daysToExpiration,minPrice,maxPrice,finalPrice,firstPrice,minPriceDate,maxPriceDate,finalPriceDate,firstPriceDate
0,CMO,CAPSTEAD MTG CO/SH,20023.0,136.0,14622.8,1100000.0,Earnings AnnouncementHeavy News Reporting,2020-07-30,2020-07-30,2020-08-20,CMO,21,5.869999885559082,6.46999979019165,6.190000057220459,6.159999847412109,2020-07-30,2020-07-31,2020-08-19,2020-07-30
1,PRPL,Purple Innovation,19270.0,3441.0,460.0,677453.0,Analyst Report,2020-07-30,2020-07-30,2020-08-20,PRPL,21,20.40999984741211,27.75,21.209999084472656,23.549999237060547,2020-08-18,2020-08-04,2020-08-19,2020-07-30
2,UPS,United Parcel Service,99393.0,19114.0,420.0,4930000.0,Earnings AnnouncementAnalyst ReportHeavy News Reporting,2020-07-30,2020-07-30,2020-08-20,UPS,21,135.14999389648438,162.6999969482422,160.33999633789062,141.4600067138672,2020-07-30,2020-08-10,2020-08-19,2020-07-30
3,QCOM,QUALCOMM,179837.0,42818.0,320.0,10720000.0,Earnings AnnouncementAnalyst ReportHeavy News Reporting,2020-07-30,2020-07-30,2020-08-20,QCOM,21,100.69999694824219,116.25,110.66000366210938,107.19000244140625,2020-07-30,2020-08-12,2020-08-20,2020-07-30
4,USFD,US Foods,10234.0,2624.0,290.0,3770000.0,Upcoming Earnings,2020-07-30,2020-07-30,2020-08-20,USFD,21,19.415000915527344,25.040000915527344,23.270000457763672,20.270000457763672,2020-08-03,2020-08-11,2020-08-20,2020-07-30
5,EVFM,Evofem Biosciences,2449.0,742.0,230.1,1630000.0,Upcoming EarningsAnalyst UpgradeHigh Trading VolumeHeavy News Reporting,2020-07-30,2020-07-30,2020-08-20,EVFM,21,2.799999952316284,3.5399999618530273,3.2100000381469727,3.0399999618530273,2020-08-07,2020-08-19,2020-08-20,2020-07-30
6,QRVO,Qorvo,5427.0,1938.0,180.0,1830000.0,Earnings AnnouncementAnalyst ReportHeavy News Reporting,2020-07-30,2020-07-30,2020-08-20,QRVO,21,121.11000061035156,136.05799865722656,130.72000122070312,128.6699981689453,2020-07-30,2020-08-06,2020-08-20,2020-07-30
7,EQR,Equity Residential,2378.0,951.0,150.1,2590000.0,Earnings AnnouncementAnalyst ReportAnalyst RevisionHeavy News Reporting,2020-07-30,2020-07-30,2020-08-20,EQR,21,51.689998626708984,56.279998779296875,55.25,53.95000076293945,2020-08-04,2020-08-11,2020-08-20,2020-07-30
8,PYPL,Paypal,118864.0,47545.0,150.0,9050000.0,Earnings AnnouncementAnalyst ReportHeavy News Reporting,2020-07-30,2020-07-30,2020-08-20,PYPL,21,186.52000427246094,204.22999572753906,198.17999267578125,192.50999450683594,2020-08-11,2020-08-05,2020-08-20,2020-07-30
9,SH,ProShares Short S&P500,18067.0,7855.0,130.0,17390000.0,Heavy News Reporting,2020-07-30,2020-07-30,2020-08-20,SH,21,20.260000228881836,21.540000915527344,20.399999618530273,21.25,2020-08-19,2020-07-30,2020-08-19,2020-07-30
10,TRUE,TrueCar,6831.0,200.0,3315.5,1160000.0,Upcoming EarningsHigh Trading VolumeHeavy News Reporting,2020-07-30,2020-07-30,2020-08-20,TRUE,21,3.200000047683716,6.46999979019165,4.949999809265137,3.880000114440918,2020-07-30,2020-08-10,2020-08-20,2020-07-30
11,USX,US Xpress Enterprises,2776.0,84.0,3204.8,310126.0,Earnings AnnouncementAnalyst UpgradeHigh Trading VolumeHeavy News Reporting,2020-07-30,2020-07-30,2020-08-20,USX,21,8.84000015258789,11.34000015258789,10.65999984741211,9.829999923706055,2020-07-30,2020-08-17,2020-08-19,2020-07-30
12,ARR,ARMOUR Residential REIT,10421.0,635.0,1541.1,1430000.0,Heavy News Reporting,2020-07-30,2020-07-30,2020-08-20,ARR,21,9.1899995803833,10.1899995803833,9.609999656677246,9.380000114440918,2020-07-31,2020-08-11,2020-08-20,2020-07-30
13,GPI,Group 1 Automotive,3223.0,222.0,1351.8,314844.0,Heavy News Reporting,2020-07-30,2020-07-30,2020-08-20,GPI,21,80.66000366210938,98.44000244140625,93.58000183105469,89.87000274658203,2020-07-31,2020-08-18,2020-08-20,2020-07-30
14,SPB,Spectrum Brands,2285.0,87.0,2526.4,492455.0,Upcoming EarningsDividend AnnouncementHeavy News Reporting,2020-07-30,2020-07-30,2020-08-20,SPB,21,51.119998931884766,61.25,57.86000061035156,52.880001068115234,2020-07-30,2020-08-11,2020-08-19,2020-07-30
15,ADVM,Adverum Biotechnologies,7089.0,558.0,1170.4,1390000.0,Analyst UpgradeHeavy News Reporting,2020-07-30,2020-07-30,2020-08-20,ADVM,21,11.75,19.25,13.010000228881836,17.65999984741211,2020-08-13,2020-08-07,2020-08-19,2020-07-30
16,CYTK,Cytokinetics,3617.0,376.0,862.0,926393.0,Upcoming EarningsAnalyst Revision,2020-07-30,2020-07-30,2020-08-20,CYTK,21,21.0,24.170000076293945,23.329999923706055,22.670000076293945,2020-08-07,2020-08-19,2020-08-19,2020-07-30
17,BEAT,BioTelemetry,2666.0,302.0,782.8,333614.0,High Trading VolumeHeavy News Reporting,2020-07-30,2020-07-30,2020-08-20,BEAT,21,40.72010040283203,46.119998931884766,41.91999816894531,45.310001373291016,2020-07-31,2020-07-31,2020-08-20,2020-07-30
18,CNSL,Consolidated Communications,2123.0,111.0,1812.6,685060.0,Heavy News Reporting,2020-07-30,2020-07-30,2020-08-20,CNSL,21,6.110000133514404,8.8100004196167,8.029999732971191,7.409999847412109,2020-07-30,2020-08-11,2020-08-19,2020-07-30
